global_id,timestamp,run_tag,fee_rate,invest_percent,atr_mult_sl,atr_period,bb_period,bb_position_pct,bb_std_mult,confirmation_candles,ma_long,ma_short,macd_fast,macd_hist_min,macd_signal_period,macd_slow,max_position_candles,min_candles_between,momentum_period,momentum_threshold,rsi_oversold,rsi_period,sl_percent,tp_percent,use_atr_sl,use_bb,use_ma_cross,use_macd,use_momentum,use_rsi,use_volume,vol_ma_period,vol_multiplier,total_ops,ganadoras,perdedoras,winrate,ganancia_media_por_op,ganancia_media_ganadoras,perdida_media_perdedoras,mejor_operacion,peor_operacion,pnl_neto,pnl_por_operacion,roi_mensual,pnl_mensual,max_drawdown,score,tiempo_medio_h,ops_por_mes
892,2026-07-07T23:46:30.381019+00:00,20260707_234630,0.08,100.0,2.17,13,14,1.16,1.91,3,22,13,14,39,12,39,17,3,8,1.8,30,8,2.44,4.83,False,True,True,True,False,True,False,20,1.87,2388,1144,1244,47.91,-0.03,1.88,-1.78,11.37,-19.74,-995.11,-0.42,-1.0,-10.04,86.53,-6.32,14.76,24.1
893,2026-07-07T23:46:30.381031+00:00,20260707_234630,0.08,100.0,1.97,19,27,1.46,2.08,1,38,8,15,58,7,22,9,5,7,1.08,31,19,0.52,3.59,False,True,False,True,False,True,True,27,1.97,3485,1490,1995,42.75,0.03,1.31,-0.93,12.65,-9.31,-993.25,-0.29,-1.0,-10.03,50.88,-1.71,6.35,35.18
894,2026-07-07T23:46:30.381044+00:00,20260707_234630,0.08,100.0,2.08,14,30,3.84,2.74,0,28,13,9,49,7,24,8,5,14,2.39,44,20,4.4,4.19,False,True,False,False,True,True,False,11,1.4,4721,2471,2250,52.34,0.07,1.35,-1.34,12.38,-21.5,-995.05,-0.21,-1.0,-10.04,62.97,-2.06,7.74,47.65
895,2026-07-07T23:46:30.381055+00:00,20260707_234630,0.08,100.0,2.71,15,28,0.84,1.69,0,44,17,12,80,9,28,16,0,18,2.62,34,18,4.79,0.73,True,True,False,False,True,False,True,11,1.18,6199,4042,2157,65.2,0.1,1.26,-2.08,12.88,-21.16,-995.05,-0.16,-1.0,-10.04,73.22,-1.65,8.5,62.57
896,2026-07-07T23:46:30.381071+00:00,20260707_234630,0.08,100.0,1.64,14,27,4.29,1.9,0,44,14,12,73,8,21,10,5,14,0.96,26,21,3.4,2.09,False,True,False,True,False,True,True,28,2.91,4327,2299,2028,53.13,0.07,1.39,-1.43,12.38,-9.5,-991.86,-0.23,-1.0,-10.01,62.61,-1.89,8.88,43.68
897,2026-07-07T23:46:30.381081+00:00,20260707_234630,0.08,100.0,1.81,17,27,3.95,1.9,3,35,18,19,40,9,39,17,1,18,2.72,25,9,1.3,1.04,False,True,True,True,False,False,True,29,2.34,3444,1873,1571,54.38,0.02,1.47,-1.7,17.38,-9.86,-995.06,-0.29,-1.0,-10.04,78.88,-4.16,8.04,34.76
898,2026-07-07T23:46:30.381094+00:00,20260707_234630,0.08,100.0,2.74,19,28,1.83,1.68,3,47,6,17,51,9,39,7,2,13,2.32,42,10,3.75,3.31,True,False,False,False,True,False,False,19,1.99,934,470,464,50.32,0.1,1.67,-1.49,9.72,-10.9,-557.61,-0.6,-0.56,-5.63,61.34,-2.06,6.63,9.43
899,2026-07-07T23:46:30.381107+00:00,20260707_234630,0.08,100.0,1.77,18,30,4.54,1.67,0,32,13,11,44,7,40,21,2,6,0.8,22,13,2.59,2.91,False,True,True,True,True,True,True,25,1.21,2672,1351,1321,50.56,0.01,2.5,-2.54,12.86,-18.21,-995.08,-0.37,-1.0,-10.04,85.36,-5.73,14.03,26.97
900,2026-07-07T23:46:30.381117+00:00,20260707_234630,0.08,100.0,2.62,20,11,1.59,1.53,0,24,11,18,28,11,25,12,4,5,1.32,26,10,4.76,3.5,False,False,True,True,False,False,False,10,1.4,2024,1069,955,52.82,0.06,1.61,-1.68,11.08,-10.77,-927.75,-0.46,-0.94,-9.36,75.67,-3.94,11.19,20.43
901,2026-07-07T23:46:30.381130+00:00,20260707_234630,0.08,100.0,1.04,16,13,0.31,1.9,0,33,10,12,27,10,34,11,4,17,1.64,45,8,0.91,3.5,True,True,False,True,True,True,False,23,2.82,4160,1960,2200,47.12,0.06,1.77,-1.47,14.08,-12.03,-995.01,-0.24,-1.0,-10.04,67.09,-3.47,8.06,41.99
902,2026-07-07T23:46:30.381141+00:00,20260707_234630,0.08,100.0,1.59,12,24,0.88,2.3,1,41,10,17,46,8,26,12,4,9,2.06,41,20,3.27,2.15,True,True,False,True,False,True,False,23,2.02,2449,1255,1194,51.25,-0.01,1.41,-1.5,12.65,-17.53,-991.04,-0.4,-1.0,-10.0,82.11,-5.15,9.12,24.72
903,2026-07-07T23:46:30.381180+00:00,20260707_234630,0.08,100.0,1.03,11,23,3.17,2.59,0,35,18,11,23,10,39,12,3,18,1.12,29,15,3.77,1.69,False,True,True,True,False,True,False,21,2.68,4149,2266,1883,54.62,0.05,1.45,-1.63,13.83,-11.26,-995.03,-0.24,-1.0,-10.04,74.06,-3.39,10.04,41.88
904,2026-07-07T23:46:30.381200+00:00,20260707_234630,0.08,100.0,2.28,11,25,0.02,1.59,1,35,12,19,54,8,40,14,3,10,2.96,27,19,2.99,0.58,True,True,False,False,False,True,True,16,1.09,3730,2449,1281,65.66,0.05,1.05,-1.87,14.08,-21.72,-992.5,-0.27,-1.0,-10.02,57.42,0.75,6.85,37.65
905,2026-07-07T23:46:30.381211+00:00,20260707_234630,0.08,100.0,1.66,19,30,1.4,1.56,1,31,18,17,35,9,31,12,3,12,1.85,28,15,1.27,2.47,True,False,True,True,True,False,False,18,1.54,1394,733,661,52.58,0.2,2.0,-1.8,10.18,-11.19,120.56,0.09,0.12,1.22,54.75,-0.25,9.34,14.07
906,2026-07-07T23:46:30.381256+00:00,20260707_234630,0.08,100.0,1.9,11,11,1.99,2.91,1,22,14,17,33,11,32,17,0,9,2.89,33,19,0.64,4.73,False,False,True,True,False,True,True,26,2.59,1168,396,772,33.9,-0.13,2.35,-1.4,17.38,-18.47,-975.97,-0.84,-0.99,-9.85,88.08,-8.77,8.77,11.79
907,2026-07-07T23:46:30.381273+00:00,20260707_234630,0.08,100.0,2.57,14,27,2.61,1.59,3,27,9,19,25,10,23,22,5,12,0.52,21,7,4.97,2.47,True,False,True,False,False,True,False,13,1.33,282,143,139,50.71,-0.38,2.19,-3.02,9.19,-19.81,-816.14,-2.89,-0.82,-8.24,75.22,-4.87,15.73,2.85
908,2026-07-07T23:46:30.381284+00:00,20260707_234630,0.08,100.0,1.55,10,25,4.74,2.44,0,43,19,8,64,11,34,17,0,15,1.01,36,11,3.72,4.8,True,False,False,False,True,True,False,27,1.43,3872,1856,2016,47.93,0.12,2.32,-1.91,11.51,-20.88,-955.72,-0.25,-0.96,-9.65,70.83,-3.89,12.83,39.08
909,2026-07-07T23:46:30.381297+00:00,20260707_234630,0.08,100.0,2.16,16,21,0.85,1.68,1,47,17,15,67,11,28,8,2,7,2.47,20,8,4.02,1.75,True,False,False,False,True,False,True,22,1.7,2158,1144,1014,53.01,0.0,1.49,-1.67,13.51,-18.63,-980.48,-0.45,-0.99,-9.9,65.95,-2.47,6.52,21.78
910,2026-07-07T23:46:30.381307+00:00,20260707_234630,0.08,100.0,1.51,14,10,0.86,2.11,1,46,7,19,32,7,30,6,4,13,2.83,43,13,0.72,4.99,False,False,True,False,False,True,False,30,2.79,2439,1224,1215,50.18,-0.04,1.12,-1.2,12.65,-11.26,-994.01,-0.41,-1.0,-10.03,78.99,-4.84,4.71,24.62
911,2026-07-07T23:46:30.381318+00:00,20260707_234630,0.08,100.0,1.55,11,19,3.89,1.92,3,25,7,17,44,11,21,13,2,11,0.87,31,14,2.9,4.15,False,True,True,True,True,False,True,29,1.03,3393,1686,1707,49.69,0.04,1.93,-1.83,17.38,-18.21,-995.01,-0.29,-1.0,-10.04,80.51,-5.11,11.41,34.25
912,2026-07-07T23:46:30.381330+00:00,20260707_234630,0.08,100.0,2.77,20,30,1.6,2.59,2,34,16,15,55,12,27,10,0,6,1.14,24,16,1.93,1.65,False,False,False,True,False,True,False,15,1.6,177,81,96,45.76,-0.36,1.71,-2.1,17.38,-17.28,-629.79,-3.56,-0.64,-6.36,52.67,-2.36,7.02,1.79
913,2026-07-07T23:46:30.381341+00:00,20260707_234630,0.08,100.0,2.65,13,22,2.19,2.33,3,33,8,14,38,10,29,6,5,20,2.72,31,14,2.92,1.31,False,False,True,False,False,True,True,30,2.54,520,287,233,55.19,-0.1,1.16,-1.66,14.08,-18.21,-774.3,-1.49,-0.78,-7.82,65.32,-2.28,5.16,5.25
914,2026-07-07T23:46:30.381351+00:00,20260707_234630,0.08,100.0,2.14,18,25,1.09,2.45,0,39,5,14,43,8,33,6,0,19,2.34,40,16,4.26,3.74,False,False,False,True,False,False,False,13,2.71,1482,752,730,50.74,-0.05,1.2,-1.34,8.15,-11.15,-967.97,-0.65,-0.98,-9.77,73.5,-4.0,5.82,14.96
915,2026-07-07T23:46:30.381365+00:00,20260707_234630,0.08,100.0,2.73,16,20,3.12,2.44,2,43,16,15,52,7,23,20,4,20,1.8,37,20,2.36,2.75,False,False,True,True,True,True,True,21,1.93,2247,1144,1103,50.91,0.1,2.29,-2.17,12.65,-10.65,-887.88,-0.4,-0.9,-8.96,52.14,-0.66,14.09,22.68
916,2026-07-07T23:46:30.381375+00:00,20260707_234630,0.08,100.0,1.72,19,12,2.08,1.57,2,46,12,16,26,7,24,21,2,18,2.7,37,9,3.2,1.46,False,True,False,True,False,False,False,24,2.43,3511,2033,1478,57.9,0.07,1.72,-2.2,12.88,-11.26,-983.49,-0.28,-0.99,-9.93,65.45,-1.61,13.8,35.44
917,2026-07-07T23:46:30.381387+00:00,20260707_234630,0.08,100.0,2.28,19,12,1.91,2.23,2,24,10,14,78,9,23,13,3,13,1.59,39,10,4.43,1.4,False,False,True,False,True,False,True,13,1.37,3145,1797,1348,57.14,0.14,1.59,-1.79,11.99,-18.63,-781.37,-0.25,-0.79,-7.89,56.83,-0.34,9.96,31.75
